season,wteam,wscore,lteam,lscore,wloc
A,502,92,613,83,H
A,502,75,692,69,H
A,503,72,541,68,H
A,503,77,552,52,A
A,504,98,515,89,A
A,504,72,518,65,H
A,504,75,518,72,A
A,504,68,592,65,H
A,504,80,593,39,H
A,504,76,655,73,H
A,504,100,667,73,H
A,504,67,674,63,H
A,504,56,675,55,A
A,504,74,711,72,A
A,504,83,772,69,A
A,504,62,790,53,H
A,504,90,792,78,H
A,504,80,801,79,H
A,504,80,827,71,H
A,504,84,848,69,H
A,506,80,508,77,H
A,506,69,547,66,H
A,506,83,608,76,A
A,506,71,734,70,H
A,506,92,734,87,N
A,506,82,800,80,A
A,506,83,804,81,H
A,508,85,506,61,H
A,508,76,552,62,H
A,508,69,632,68,H
A,508,77,685,74,H
A,508,105,734,84,H
A,508,84,734,83,A
A,508,97,773,94,A
A,508,102,804,98,A
A,509,85,583,75,H
A,509,89,583,73,A
A,509,89,619,49,H
A,509,84,635,71,H
A,509,65,653,58,H
A,509,83,723,74,H
A,509,80,743,76,H
A,509,76,743,68,A
A,509,69,838,64,N
A,509,91,847,80,A
A,509,100,847,66,H
A,510,75,550,73,N
A,510,95,586,79,H
A,510,93,598,78,H
A,510,78,654,70,H
A,510,89,661,87,H
A,510,61,775,58,H
A,511,108,512,76,H
A,511,71,512,69,A
A,511,83,515,73,A
A,511,71,539,68,H
A,511,79,549,76,H
A,511,91,603,81,N
A,511,73,617,69,A
A,511,91,647,57,H
A,511,86,670,79,N
A,511,84,680,66,H
A,511,70,725,65,A
A,511,81,725,63,H
A,511,66,726,59,A
A,511,84,726,60,H
A,511,79,746,70,H
A,511,88,794,44,H
A,511,90,799,84,H
A,511,88,810,79,H
A,511,93,818,81,H
A,511,86,818,72,A
A,511,90,824,70,H
A,511,67,840,65,A
A,511,96,841,78,H
A,511,72,841,62,A
A,512,56,539,53,H
A,512,85,566,73,H
A,512,76,713,62,H
A,512,74,725,73,A
A,512,93,726,75,A
A,512,63,726,58,H
A,512,62,767,58,H
A,512,82,774,76,H
A,512,103,804,77,H
A,512,69,818,66,A
A,512,88,840,79,H
A,513,95,516,68,H
A,513,84,516,63,A
A,513,62,608,57,A
A,513,91,608,67,H
A,513,89,633,57,A
A,513,103,633,77,H
A,513,67,633,60,N
A,513,65,643,63,H
A,513,66,650,60,H
A,513,80,650,63,A
A,513,70,675,68,A
A,513,69,703,66,H
A,513,93,751,89,A
A,513,72,768,60,H
A,513,61,768,49,A
A,513,72,795,63,H
A,513,76,803,72,H
A,513,55,803,52,A
A,513,89,803,71,N
A,513,87,811,67,H
A,513,84,835,76,H
A,515,71,504,63,A
A,515,116,508,75,H
A,515,87,518,77,H
A,515,75,592,60,H
A,515,86,632,77,H
A,515,76,655,68,H
A,515,94,655,79,A
A,515,63,674,62,A
A,515,79,674,73,H
A,515,80,675,68,H
A,515,104,676,93,H
A,515,103,693,49,H
A,515,66,724,65,H
A,515,73,767,46,H
A,515,81,769,69,H
A,515,80,769,58,N
A,515,86,791,67,H
A,515,75,812,67,H
A,516,74,605,67,A
A,516,75,643,58,H
A,516,62,650,50,H
A,516,69,650,64,A
A,516,62,768,54,H
A,516,46,803,38,H
A,516,77,811,71,H
A,516,80,835,68,H
A,517,83,642,79,H
A,517,91,644,75,H
A,517,64,692,58,N
A,517,74,850,71,H
A,518,101,515,76,H
A,518,83,521,64,A
